ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"170.254.255.247","elite","AS52584","BR","Connect Fibra","286","Connect Fibra","45816","socks4","4302","1","2023-07-07T10:06:31.140Z","98","2624","2664"
"81.199.14.17","elite","AS36892","GB","IPTEC Limited","291","Gilat Satcom Ltd.","1088","socks4","4796","1","2023-07-07T10:06:31.143Z","96","2624","2739"
"31.43.179.160","elite","AS209242","KZ","Cloudflare London, LLC","11","\"Betting company PM Bet\" LLC","80","socks4","4998","1","2023-07-07T10:06:31.144Z","100","2659","2659"
"103.36.11.122","elite","AS133360","ID","PT Awinet Global Mandiri","193","N/A","4145","socks4","4908","1","2023-07-07T10:06:30.129Z","54","1493","2776"
"179.107.83.235","elite","AS52545","BR","BJ NET Provedor de Internet Ltda. - ME","223","BJ NET Provedor de Internet Ltda. - ME","5678","socks4","4500","82","2023-07-07T10:06:30.127Z","99","2726","2747"
"103.140.75.11","elite","AS138891","ID","PT Kayong Muara Teknoindo","199","N/A","5678","socks4","4908","1","2023-07-07T10:06:30.124Z","96","2669","2767"
"35.230.154.184","elite","AS396982","GB","Google LLC","13","Google Cloud (europe-west2)","3128","socks4","4399","1","2023-07-07T10:06:30.125Z","62","1698","2723"
"68.183.7.47","elite","AS14061","NL","DigitalOcean, LLC","15","DigitalOcean, LLC","7497","socks5","5291","1","2023-07-07T10:06:30.129Z","100","2662","2664"
"47.252.4.1","elite","AS45102","US","Alibaba.com LLC","81","ALICLOUD-US","80","socks4","5003","1","2023-07-07T10:06:30.126Z","80","2144","2671"
"180.241.252.242","elite","AS7713","ID","PT. TELKOM INDONESIA","185","N/A","8080","socks4","4993","1","2023-07-07T10:06:29.236Z","82","2179","2651"
"190.69.24.18","elite","AS3816","CO","Colombia Telecomunicaciones S.a. ESP","196","Colombia Telecomunicaciones S.a. ESP","5678","socks4","5099","1","2023-07-07T10:06:29.235Z","98","2659","2717"
"125.253.125.132","elite","AS45538","VN","ODS Joint Stock Company","184","ODSJSC","46051","socks4","4999","1","2023-07-07T10:06:29.154Z","97","2614","2695"
"185.169.181.20","elite","AS34984","TR","Ates Dc","86","Ibrahim MALA trading as Ates Dc","4145","socks4","3210","1","2023-07-07T10:06:29.337Z","100","2721","2723"
"43.229.254.163","elite","AS23679","ID","Media Antar Nusa PT.","168","Nusanet","1080","socks4","4697","1","2023-07-07T10:06:29.233Z","98","2664","2732"
"80.80.167.246","elite","AS21246","AL","IPKO Telecommunications LLC","83","N/A","10801","socks4","3094","1","2023-07-07T10:06:29.237Z","100","2750","2752"
"140.83.52.194","elite","AS31898","JP","Oracle Corporation","238","Oracle Cloud Infrastructure (ap-osaka-1)","59793","socks5","5002","1","2023-07-07T10:06:27.717Z","98","2711","2756"
"41.184.106.17","elite","AS29091","NG","ipNX Nigeria Limited","177","ipNX NIGERIA LIMITED","5678","socks4","3304","1","2023-07-07T10:06:27.718Z","96","2638","2752"
"187.210.136.88","elite","AS8151","MX","Uninet S.A. de C.V.","166","Uninet S.A. de C.V","4153","socks4","4902","1","2023-07-07T10:06:27.719Z","100","2754","2762"
"183.89.249.192","elite","AS45629","TH","Triple T Broadband Public Company Limited","167","Triple T Broadband Public Company Limited","4153","socks4","4899","53","2023-07-07T10:06:27.718Z","94","2546","2697"
"103.85.103.17","elite","AS135788","IN","Vedant Broadband","151","N/A","5678","socks4","3799","1","2023-07-07T10:06:27.719Z","100","2738","2751"
"162.0.220.216","elite","AS22612","US","Namecheap, Inc.","173","Namecheap, Inc.","38304","socks5","5004","1","2023-07-07T10:06:27.715Z","100","2748","2754"
"45.7.177.249","elite","AS266626","BR","Litoral Telecom","171","Litoral Telecom","39867","socks4","4811","1","2023-07-07T10:06:26.836Z","99","2742","2767"
"75.119.203.42","elite","AS26347","US","New Dream Network, LLC","189","New Dream Network, LLC","15745","socks4","5097","1","2023-07-07T10:06:26.839Z","100","2757","2758"
"185.92.222.127","elite","AS20473","NL","The Constant Company","19","Vultr Holdings LLC Amsterdam","9100","socks5","4404","1","2023-07-07T10:06:26.838Z","100","2763","2764"
"190.2.144.46","elite","AS49981","NL","WorldStream B.V.","11","WorldStream B.V","18013","socks4","4907","1","2023-07-07T10:06:26.939Z","78","2066","2659"
"110.11.37.83","elite","AS9318","KR","SK Broadband Co Ltd","283","SK Broadband Co Ltd","1080","socks4","4791","1","2023-07-07T10:06:26.841Z","100","2754","2763"
"116.111.119.88","elite","AS7552","VN","Viettel Corporation","284","Viettel Group","6666","socks4","4905","1","2023-07-07T10:06:24.048Z","10","267","2696"
"103.127.21.42","elite","AS137645","IN","Macro Signal Pvt Ltd","156","Macro Signal Pvt Ltd","5678","socks5","4705","1","2023-07-07T10:06:24.924Z","37","997","2674"
"59.59.51.74","elite","AS4134","CN","Chinanet","288","Chinanet FJ","8001","socks5","5072","1","2023-07-07T10:06:24.051Z","77","2086","2711"
"104.16.108.149","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","2806","1","2023-07-07T10:06:24.042Z","100","2667","2667"
"203.119.147.187","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","186","Addresses CNNIC","80","socks5","3597","1","2023-07-07T10:06:24.047Z","74","2002","2717"
"38.127.179.19","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","55994","socks5","5094","1","2023-07-07T10:06:24.923Z","100","2684","2686"
"95.182.78.11","elite","AS50648","UA","PE UAinet","46","PE UAinet","5678","socks4","5039","1","2023-07-07T10:06:24.050Z","99","2715","2738"
"103.95.97.186","elite","AS136759","BD","Cosmopolitan Communications Limited","186","Cosmopolitan Communications Limited","31244","socks4","4805","87","2023-07-07T10:06:24.049Z","97","2685","2758"
"147.139.199.251","elite","AS45102","ID","Alibaba.com LLC","196","ALICLOUD-ID","61524","socks5","5012","1","2023-07-07T10:06:24.043Z","100","2763","2772"
"185.169.181.14","elite","AS34984","TR","Ates Dc","92","Ibrahim MALA trading as Ates Dc","4145","socks4","4602","1","2023-07-07T10:06:24.922Z","100","2710","2712"
"8.210.154.47","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","266","Alibaba.com Singapore E-Commerce Private Limited","53367","socks4","4998","1","2023-07-07T10:06:24.925Z","84","2293","2733"
"149.20.253.80","elite","AS18615","US","Mainstream Fiber Networks, LLC","179","Mainstream Fiber Networks, LLC","12551","socks4","3594","87","2023-07-07T10:06:24.146Z","100","2736","2737"
"173.212.234.67","elite","AS51167","DE","Contabo GmbH","100","Contabo GmbH","51924","socks5","4802","1","2023-07-07T10:06:24.046Z","87","2382","2723"
